,folder,name,question,Item Type,Section,Type,Program,Language,Level,ID,SectionShort,date
429,Descriptive-statistics/eur-descriptive-401-nl,eur-descriptive-401-nl,"Een onderzoeker van het instituut voor psychologie doet onderzoek naar alcoholmisbruik onder adolescenten. De onderzoeker ontwierp een vragenlijst met 12 items op Likert-schalen van 1 (helemaal mee oneens) tot 5 (helemaal mee eens). Een voorbeeld van een item is: Als ik uitga, drink ik vaak meer dan 5 alcoholische dranken. De antwoorden van 608 adolescente meisjes (gender = 1) en jongens (gender = 2) op de 12 items zitten in de dataset. Let op: hogere scores op de vragenlijst duiden op meer alcoholmisbruik.
Op welke van de 12 items geven de adolescenten de minst gevarieerde antwoorden? (geen decimalen)
Open de dataset hieronder om deze vraag te beantwoorden:
* Download** [SPSS file](eur-descriptive-401-en-data.sav), [CSV file](eur-descriptive-401-en-data.csv)
",num,Descriptive statistics/Summary Statistics/Measures of Spread/Standard Deviation,"Interpreting output, Performing analysis",SPSS,Dutch,Statistical Literacy,2330d,Descriptive statistics/Standard Deviation,2026-01-12
436,Descriptive-statistics/eur-descriptive-405-en,eur-descriptive-405-en,"A knowledge test on alcohol contains 20 items and is administered to 202 high school students. The variable [total score] gives the total correct scores. Gender (0 = woman; 1 = man) and alcohol use (0 = very often; 1 = often; 2 = sometimes; 3 = never) are also included in the dataset. 
What is the total score corresponding to a percentile score of 75%? (no decimals)
Open the dataset below to answer this question:
**Download** [SPSS file](eur-descriptive-405-en-data.sav), [CSV file](eur-descriptive-405-en-data.csv)
",num,Descriptive statistics/Score interpretation/Percentile,"Performing analysis, Interpreting output",SPSS,English,Statistical Literacy,ba907,Descriptive statistics/Percentile,2026-01-12
437,Descriptive-statistics/eur-descriptive-405-nl,eur-descriptive-405-nl,"Een kennistest over alcohol bevat 20 items en wordt afgenomen bij 202 middelbare scholieren. De variabele total_score geeft de totale juiste scores. Geslacht (gender; 0 = vrouw; 1 = man) en alcoholgebruik (alchol_use; 0 = heel vaak; 1 = vaak; 2 = soms; 3 = nooit) zijn ook opgenomen in de dataset.
Wat is de totaalscore die overeenkomt met een percentielscore van 75% (geen decimalen)?
Open de dataset hieronder om deze vraag te beantwoorden:
* Download** [SPSS file](eur-descriptive-405-en-data.sav), [CSV file](eur-descriptive-405-en-data.csv)
",num,Descriptive statistics/Score interpretation/Percentile,"Performing analysis, Interpreting output",SPSS,Dutch,Statistical Literacy,13d9d,Descriptive statistics/Percentile,2026-01-12
446,Descriptive-statistics/eur-descriptive-410-en,eur-descriptive-410-en,"A researcher working at the psychology institute investigates alcohol abuse among adolescents. The researcher designed 34 statements the adolescents can agree or disagree with on a four-point scale (1. completely agree; 2. somewhat agree; 3. somewhat disagree; 4. completely disagree). An example of a statement is: When I feel lonely, I enjoy drinking an alcoholic beverage. The answers of 312 girls (0) and boys (1) to the 34 statements are in the dataset. Also included in the dataset are IQ scores, scale scores and the amount of alcohol use (1 = very often; 2 = often; 3 = sometimes; 4 = never).
To which of the 34 items do the adolescents give the most varied responses? (no decimals)
Open the dataset below to answer this question:
**Download** [SPSS file](eur-descriptive-410-en-data.sav), [CSV file](eur-descriptive-410-en-data.csv)
",num,"Descriptive statistics/Summary Statistics/Measures of Spread/Variance, Descriptive statistics/Summary Statistics/Measures of Spread/Standard Deviation","Interpreting output, Performing analysis",SPSS,English,Statistical Literacy,7bdcf,Descriptive statistics/Variance,2026-01-12
447,Descriptive-statistics/eur-descriptive-410-nl,eur-descriptive-410-nl,"Een onderzoeker van het instituut voor psychologie doet onderzoek naar alcoholmisbruik onder adolescenten. De onderzoeker ontwierp 34 stellingen waar de adolescenten het mee eens of oneens kunnen zijn op een vierpuntsschaal (1. helemaal mee eens; 2. enigszins mee eens; 3. enigszins mee oneens; 4. helemaal mee oneens). Een voorbeeld van een stelling is: Als ik me eenzaam voel, drink ik graag een alcoholische drank. De antwoorden van 312 meisjes (gender = 0) en jongens (gender = 1) op de 34 stellingen zitten in de dataset. Ook IQ-scores (IQ), schaalscores (scale) en de hoeveelheid alcoholgebruik (alcohol_use; 1 = heel vaak; 2 = vaak; 3 = soms; 4 = nooit) zijn in de dataset opgenomen.
Op welke van de 34 items geven de adolescenten de meest uiteenlopende antwoorden? (geen decimalen)
Open de dataset hieronder om deze vraag te beantwoorden:
* Download** [SPSS file](eur-descriptive-410-en-data.sav), [CSV file](eur-descriptive-410-en-data.csv)
",num,"Descriptive statistics/Summary Statistics/Measures of Spread/Variance, Descriptive statistics/Summary Statistics/Measures of Spread/Standard Deviation","Interpreting output, Performing analysis",SPSS,Dutch,Statistical Literacy,fff5d,Descriptive statistics/Variance,2026-01-12
452,Descriptive-statistics/eur-descriptive-413-en,eur-descriptive-413-en,"A researcher working at the psychology institute investigates alcohol abuse among adolescents. The researcher designed 34 statements the adolescents can agree or disagree with on a four-point scale (1. completely agree; 2. somewhat agree; 3. somewhat disagree; 4. completely disagree). An example of a statement is: When I feel lonely, I enjoy drinking an alcoholic beverage. The answers of 312 girls (0) and boys (1) to the 34 statements are in the dataset. Also included in the dataset are IQ scores, scale scores and the amount of alcohol use (1 = very often; 2 = often; 3 = sometimes; 4 = never).
What is the scale score corresponding to a percentile score of 30%? (no decimals)
Open the dataset below to answer this question:
**Download** [SPSS file](eur-descriptive-413-en-data.sav), [CSV file](eur-descriptive-413-en-data.csv)
",num,Descriptive statistics/Score interpretation/Percentile,"Interpreting output, Performing analysis, Calculation",SPSS,English,Statistical Literacy,37b82,Descriptive statistics/Percentile,2026-01-12
453,Descriptive-statistics/eur-descriptive-413-nl,eur-descriptive-413-nl,"Een onderzoeker van het instituut voor psychologie doet onderzoek naar alcoholmisbruik onder adolescenten. De onderzoeker ontwierp 34 stellingen waar de adolescenten het mee eens of oneens kunnen zijn op een vierpuntsschaal (1. helemaal mee eens; 2. enigszins mee eens; 3. enigszins mee oneens; 4. helemaal mee oneens). Een voorbeeld van een stelling is: Als ik me eenzaam voel, drink ik graag een alcoholische drank. De antwoorden van 312 meisjes (gender = 0) en jongens (gender = 1) op de 34 stellingen zitten in de dataset. Ook IQ-scores (IQ), schaalscores (scale) en de hoeveelheid alcoholgebruik (alcohol_use; 1 = heel vaak; 2 = vaak; 3 = soms; 4 = nooit) zijn in de dataset opgenomen.
Wat is de schaalscore die overeenkomt met een percentielscore van 30%? (geen decimalen)
Open de dataset hieronder om deze vraag te beantwoorden:
* Download** [SPSS file](eur-descriptive-413-en-data.sav), [CSV file](eur-descriptive-413-en-data.csv)
",num,Descriptive statistics/Score interpretation/Percentile,"Interpreting output, Performing analysis, Calculation",SPSS,Dutch,Statistical Literacy,9662f,Descriptive statistics/Percentile,2026-01-12
480,Descriptive-statistics/uu-Descriptive-statistics-601-en,uu-Descriptive-statistics-601-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-601-en-data.sav), [CSV file](uu-Descriptive-statistics-601-en-data.csv)
Use the data file to answer the questions.

* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on grammar is known is....
* The standard deviation of the score on spelling is....
* The minimum score obtained on technical reading is....
* The mode of vocabulary is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,c4be6,Descriptive statistics/Descriptive statistics,2026-01-12
481,Descriptive-statistics/uu-Descriptive-statistics-601-nl,uu-Descriptive-statistics-601-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-601-nl-data.sav), [CSV file](uu-Descriptive-statistics-601-nl-data.csv)
Gebruik het databestand om de vragen te beantwoorden.

**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op grammatica bekend is, is…
* De standaardafwijking van de score op spelling is…
* De minimaal behaalde score op technisch lezen is…
* De modus van woordenschat is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,beffb,Descriptive statistics/Descriptive statistics,2026-01-12
482,Descriptive-statistics/uu-Descriptive-statistics-602-en,uu-Descriptive-statistics-602-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-602-en-data.sav), [CSV file](uu-Descriptive-statistics-602-en-data.csv)
Open the data file.

* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on reading comprehension is known is....
* The average score on vocabulary is....
* The minimum score obtained on grammar is....
* The mode of spelling is...",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,c43ef,Descriptive statistics/Descriptive statistics,2026-01-12
483,Descriptive-statistics/uu-Descriptive-statistics-602-nl,uu-Descriptive-statistics-602-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-602-nl-data.sav), [CSV file](uu-Descriptive-statistics-602-nl-data.csv)
Open het databestand.

**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op begrijpend lezen bekend is, is…
* De gemiddelde score op woordenschat is…
* De minimaal behaalde score op grammatica is…
* De modus van spelling is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,7f1ee,Descriptive statistics/Descriptive statistics,2026-01-12
484,Descriptive-statistics/uu-Descriptive-statistics-603-en,uu-Descriptive-statistics-603-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-603-en-data.sav), [CSV file](uu-Descriptive-statistics-603-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose gender is known is....
* The average score on technical reading is...
* The maximum score obtained on grammar is....
* The mode of comprehension reading is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,c9e89,Descriptive statistics/Descriptive statistics,2026-01-12
485,Descriptive-statistics/uu-Descriptive-statistics-603-nl,uu-Descriptive-statistics-603-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-603-nl-data.sav), [CSV file](uu-Descriptive-statistics-603-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen.
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de sekse bekend is, is…
* De gemiddelde score op technisch lezen is…
* De maximaal behaalde score op grammatica is…
* De modus van begrijpende lezen is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,d433b,Descriptive statistics/Descriptive statistics,2026-01-12
486,Descriptive-statistics/uu-Descriptive-statistics-604-en,uu-Descriptive-statistics-604-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-604-en-data.sav), [CSV file](uu-Descriptive-statistics-604-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on multiplication is known is....
* The average score on addition is...
* The minimum score obtained on after-measurement mental arithmetics is...
* The mode of fractions is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,1bc45,Descriptive statistics/Descriptive statistics,2026-01-12
487,Descriptive-statistics/uu-Descriptive-statistics-604-nl,uu-Descriptive-statistics-604-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-604-nl-data.sav), [CSV file](uu-Descriptive-statistics-604-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen.
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op vermenigvuldigen bekend is, is…
* De gemiddelde score op optellen is…
* De minimaal behaalde score op nameting hoofdrekenen is…
* De modus van breuken is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,fc05f,Descriptive statistics/Descriptive statistics,2026-01-12
488,Descriptive-statistics/uu-Descriptive-statistics-605-nl,uu-Descriptive-statistics-605-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-605-nl-data.sav), [CSV file](uu-Descriptive-statistics-605-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen. 
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op optellen bekend is, is…
* De gemiddelde score op breuken is…
* De maximaal behaalde score op vermenigvuldigen is…
* De modus van voormeting hoofdrekenen is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,7a05e,Descriptive statistics/Descriptive statistics,2026-01-12
489,Descriptive-statistics/uu-Descriptive-statistics-606-nl,uu-Descriptive-statistics-606-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-606-nl-data.sav), [CSV file](uu-Descriptive-statistics-606-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen. 
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op herkennen van kleuren bekend is, is…
* De gemiddelde score op herkennen van woorden is…
* De minimaal behaalde score op herkennen van dieren is…
* De modus van herkennen van vormen is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,0e0e3,Descriptive statistics/Descriptive statistics,2026-01-12
490,Descriptive-statistics/uu-Descriptive-statistics-607-nl,uu-Descriptive-statistics-607-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-607-nl-data.sav), [CSV file](uu-Descriptive-statistics-607-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen. 
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op herkennen van vormen bekend is, is…
* De standaardafwijking van herkennen van dieren is…
* De maximaal behaalde score op herkennen van kleuren is…
* De modus van herkennen van woorden is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,7db3b,Descriptive statistics/Descriptive statistics,2026-01-12
491,Descriptive-statistics/uu-Descriptive-statistics-608-en,uu-Descriptive-statistics-608-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-608-en-data.sav), [CSV file](uu-Descriptive-statistics-608-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on recognizing letters is known is....
* The standard deviation of recognizing shapes is....
* The minimum score obtained on recognizing animals is...
* The mode of recognizing animals is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,f0ae7,Descriptive statistics/Descriptive statistics,2026-01-12
492,Descriptive-statistics/uu-Descriptive-statistics-608-nl,uu-Descriptive-statistics-608-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-608-nl-data.sav), [CSV file](uu-Descriptive-statistics-608-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen.
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op herkennen van letters bekend is, is…
* De standaardafwijking van herkennen van vormen is…
* De minimaal behaalde score op herkennen van dieren is…
* De modus van herkennen van dieren is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,e9714,Descriptive statistics/Descriptive statistics,2026-01-12
493,Descriptive-statistics/uu-Descriptive-statistics-609-en,uu-Descriptive-statistics-609-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-609-en-data.sav), [CSV file](uu-Descriptive-statistics-609-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on support from partner is known is....
* The average score on number of years of employment is....
* The minimum score obtained on number of years of education is....
* The mode of support from child is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,e0717,Descriptive statistics/Descriptive statistics,2026-01-12
494,Descriptive-statistics/uu-Descriptive-statistics-609-nl,uu-Descriptive-statistics-609-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-609-nl-data.sav), [CSV file](uu-Descriptive-statistics-609-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen. 
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op steun van partner bekend is, is…
* De gemiddelde score op aantal jaren arbeid is…
* De minimaal behaalde score op aantal jaren onderwijs is…
* De modus van steun van kind is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,098cb,Descriptive statistics/Descriptive statistics,2026-01-12
495,Descriptive-statistics/uu-Descriptive-statistics-610-en,uu-Descriptive-statistics-610-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-610-en-data.sav), [CSV file](uu-Descriptive-statistics-610-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on recognizing letters is known is....
* The standard deviation of recognizing shapes is....
* The minimum score obtained on recognizing animals is...
* The mode of recognizing animals is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,e5058,Descriptive statistics/Descriptive statistics,2026-01-12
496,Descriptive-statistics/uu-Descriptive-statistics-610-nl,uu-Descriptive-statistics-610-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-610-nl-data.sav), [CSV file](uu-Descriptive-statistics-610-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen. 
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op herkennen van letters bekend is, is…
* De standaardafwijking van herkennen van vormen is…
* De minimaal behaalde score op herkennen van dieren is…
* De modus van herkennen van dieren is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,1eed3,Descriptive statistics/Descriptive statistics,2026-01-12
497,Descriptive-statistics/uu-Descriptive-statistics-611-en,uu-Descriptive-statistics-611-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-611-en-data.sav), [CSV file](uu-Descriptive-statistics-611-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on support from partner is known is....
* The average score on number of years of employment is....
* The minimum score obtained on number of years of education is....
* The mode of number of years of employment is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,0496c,Descriptive statistics/Descriptive statistics,2026-01-12
498,Descriptive-statistics/uu-Descriptive-statistics-611-nl,uu-Descriptive-statistics-611-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-611-nl-data.sav), [CSV file](uu-Descriptive-statistics-611-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen.
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op steun van partner bekend is, is…
* De gemiddelde score op aantal jaren arbeid is…
* De minimaal behaalde score op aantal jaren onderwijs is…
* De modus van aantal jaren arbeid is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,a461e,Descriptive statistics/Descriptive statistics,2026-01-12
499,Descriptive-statistics/uu-Descriptive-statistics-612-en,uu-Descriptive-statistics-612-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-612-en-data.sav), [CSV file](uu-Descriptive-statistics-612-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose vocabulary score is known is....
* The standard deviation of reading comprehension is....
* The minimum score obtained on spelling is....
* The mode of grammar is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,b57e9,Descriptive statistics/Descriptive statistics,2026-01-12
500,Descriptive-statistics/uu-Descriptive-statistics-612-nl,uu-Descriptive-statistics-612-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-612-nl-data.sav), [CSV file](uu-Descriptive-statistics-612-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen.
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op woordenschat bekend is, is…
* De standaardafwijking van de begrijpend lezen is…
* De minimaal behaalde score op spelling is…
* De modus van grammatica is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,4171e,Descriptive statistics/Descriptive statistics,2026-01-12
501,Descriptive-statistics/uu-Descriptive-statistics-613-en,uu-Descriptive-statistics-613-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-613-en-data.sav), [CSV file](uu-Descriptive-statistics-613-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on support from child is known is....
* The average score on support from partner is....
* The maximum score obtained on support from boss is....
* The mode of number of years of employment is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,36b4b,Descriptive statistics/Descriptive statistics,2026-01-12
502,Descriptive-statistics/uu-Descriptive-statistics-613-nl,uu-Descriptive-statistics-613-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-613-nl-data.sav), [CSV file](uu-Descriptive-statistics-613-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen.
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op steun van kind bekend is, is…
* De gemiddelde score op steun van partner is…
* De maximaal behaalde score op steun van baas is…
* De modus van aantal jaren arbeid is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,abe83,Descriptive statistics/Descriptive statistics,2026-01-12
503,Descriptive-statistics/uu-Descriptive-statistics-614-en,uu-Descriptive-statistics-614-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-614-en-data.sav), [CSV file](uu-Descriptive-statistics-614-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on reading comprehension is known is....
* The average score on vocabulary is....
* The minimum score obtained on grammar is....
* The mode of spelling is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,c6cb8,Descriptive statistics/Descriptive statistics,2026-01-12
504,Descriptive-statistics/uu-Descriptive-statistics-614-nl,uu-Descriptive-statistics-614-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-614-nl-data.sav), [CSV file](uu-Descriptive-statistics-614-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen.
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op begrijpend lezen bekend is, is…
* De gemiddelde score op woordenschat is…
* De minimaal behaalde score op grammatica is…
* De modus van spelling is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,329d0,Descriptive statistics/Descriptive statistics,2026-01-12
505,Descriptive-statistics/uu-Descriptive-statistics-615-en,uu-Descriptive-statistics-615-en,"
**Download**: [SPSS file](uu-Descriptive-statistics-615-en-data.sav), [CSV file](uu-Descriptive-statistics-615-en-data.csv)
Open the data set.
Answer the following questions.
**Answer all questions with all decimals given in the output.**
Answerlist
----------
* The minimum score achieved for grammar is equal to…
* The median for spelling is…
* The number of respondents who answered “not agree” to question V1 is equal to…

",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,a427a,Descriptive statistics/Descriptive statistics,2026-01-12
506,Descriptive-statistics/uu-Descriptive-statistics-615-nl,uu-Descriptive-statistics-615-nl,"
* Download**: [SPSS file](uu-Descriptive-statistics-615-nl-data.sav), [CSV file](uu-Descriptive-statistics-615-nl-data.csv)
Open de gegevensset.
Beantwoord de volgende vragen.
* Beantwoord alle vragen met alle decimalen in de uitvoer.**
Antwoordenlijst
----------
* De minimale score voor grammatica is gelijk aan...
* De mediaan voor spelling is...
* Het aantal respondenten dat ""niet akkoord"" antwoordde op vraag begrijpend lezen is gelijk aan...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,c18a9,Descriptive statistics/Descriptive statistics,2026-01-12
507,Descriptive-statistics/uu-Descriptive-statistics-616-en,uu-Descriptive-statistics-616-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-616-en-data.sav), [CSV file](uu-Descriptive-statistics-616-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on well-being at measurement time 3 is known is....
* The average score on stress tolerance is....
* The maximum score obtained on job satisfaction is...
* The number of respondents in experimental group A is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,112c4,Descriptive statistics/Descriptive statistics,2026-01-12
508,Descriptive-statistics/uu-Descriptive-statistics-616-nl,uu-Descriptive-statistics-616-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-616-nl-data.sav), [CSV file](uu-Descriptive-statistics-616-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen.
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op welzijn op meetmoment 3 bekend is, is…
* De gemiddelde score op stressbestendigheid is…
* De maximaal behaalde score op plezier in werk is…
* Het aantal respondenten in experimentele groep A is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,19b51,Descriptive statistics/Descriptive statistics,2026-01-12
509,Descriptive-statistics/uu-Descriptive-statistics-617-nl,uu-Descriptive-statistics-617-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-617-nl-data.sav), [CSV file](uu-Descriptive-statistics-617-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen.
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op aandacht op meetmoment 3 bekend is, is… 
* De gemiddelde score op updating is…
* De minimaal behaalde score op aandacht op meetmoment 1 is…
* De range van shifting is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,fdf61,Descriptive statistics/Descriptive statistics,2026-01-12
510,Descriptive-statistics/uu-Descriptive-statistics-618-en,uu-Descriptive-statistics-618-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-618-en-data.sav), [CSV file](uu-Descriptive-statistics-618-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on language proficiency at measurement time 3 is known is....
* The average score on spelling is...
* The maximum score obtained on grammar is....
* The number of respondents in experimental group B is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,20e18,Descriptive statistics/Descriptive statistics,2026-01-12
511,Descriptive-statistics/uu-Descriptive-statistics-618-nl,uu-Descriptive-statistics-618-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-618-nl-data.sav), [CSV file](uu-Descriptive-statistics-618-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen.
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op taalvaardigheid op meetmoment 3 bekend is, is… 
* De gemiddelde score op spelling is…
* De maximaal behaalde score op grammatica is…
* Het aantal respondenten in experimentele groep B is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,f4747,Descriptive statistics/Descriptive statistics,2026-01-12
512,Descriptive-statistics/uu-Descriptive-statistics-619-en,uu-Descriptive-statistics-619-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-619-en-data.sav), [CSV file](uu-Descriptive-statistics-619-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on well-being at measurement time 2 is known is....
* The average score on job satisfaction is...
* The minimum score obtained on stress tolerance is....
* Most respondents are in experimental group...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,9f450,Descriptive statistics/Descriptive statistics,2026-01-12
